ID,Age,Income,Kidhome,Teenhome,Children,Family_Size,Is_Parent,Days_Enrolled,Recency,Complain
5524,68,58138.0,0,0,0,1,0,4695,58,0
2174,71,46344.0,1,1,2,3,1,4145,38,0
4141,60,71613.0,0,0,0,2,0,4344,26,0
6182,41,26646.0,1,0,1,3,1,4171,26,0
5324,44,58293.0,1,0,1,3,1,4193,94,0
7446,58,62513.0,0,1,1,3,1,4325,16,0
965,54,55635.0,0,1,1,2,1,4625,34,0
6177,40,33454.0,1,0,1,3,1,4449,32,0
4855,51,30351.0,1,0,1,3,1,4420,19,0
5899,75,5648.0,1,1,2,4,1,4140,68,0
1994,42,51381.5,1,0,1,3,1,4258,11,0
387,49,7500.0,0,0,0,2,0,4625,59,0
2125,66,63033.0,0,0,0,1,0,4258,82,0
8180,73,59354.0,1,1,2,3,1,4258,53,0
2569,38,17323.0,0,0,0,2,0,4659,38,0
2114,79,82800.0,0,0,0,1,0,4614,23,0
9736,45,41850.0,1,1,2,4,1,4584,51,0
4939,79,37760.0,0,0,0,2,0,4699,20,0
6565,76,76995.0,0,1,1,3,1,4490,91,0
2278,40,33812.0,1,0,1,2,1,4635,86,0
9360,43,37040.0,0,0,0,2,0,4722,41,0
5376,46,2447.0,1,0,1,3,1,4571,42,0
1993,76,58607.0,0,1,1,3,1,4585,63,0
4047,71,65324.0,0,1,1,3,1,4201,0,0
1409,74,40689.0,0,1,1,3,1,4500,69,0
7892,56,18589.0,0,0,0,1,0,4575,89,0
2404,49,53359.0,1,1,2,4,1,4430,4,0
5255,39,51381.5,1,0,1,2,1,4526,19,0
9422,36,38360.0,1,0,1,3,1,4426,26,0
1966,60,84618.0,0,0,0,2,0,4251,96,0
6864,36,10979.0,0,0,0,1,0,4070,34,0
3033,62,38620.0,0,0,0,2,0,4446,56,0
5710,55,40548.0,0,1,1,3,1,4659,31,0
7373,73,46610.0,0,2,2,3,1,4640,8,0
8755,79,68657.0,0,0,0,2,0,4526,4,0
10738,74,49389.0,1,1,2,3,1,4336,55,0
4339,55,67353.0,0,1,1,3,1,4212,37,0
10755,49,23718.0,1,0,1,3,1,4332,76,0
8595,52,42429.0,0,1,1,2,1,4170,99,0
2968,82,48948.0,0,0,0,1,0,4545,53,0
8601,45,80011.0,0,1,1,3,1,4458,3,0
503,40,20559.0,1,0,1,3,1,4506,88,0
8430,68,21994.0,0,1,1,3,1,4584,4,0
7281,66,51381.5,0,0,0,1,0,4268,80,0
2139,50,7500.0,1,0,1,3,1,4302,19,0
1371,49,79941.0,0,0,0,1,0,4033,72,0
9909,29,7500.0,0,0,0,2,0,4629,24,0
7286,57,41728.0,1,0,1,3,1,4433,92,0
7244,74,51381.5,2,1,3,4,1,4211,96,0
6566,71,72550.0,1,1,2,4,1,4630,39,0
8614,68,65486.0,0,1,1,2,1,4080,29,0
4114,61,79143.0,0,0,0,2,0,4719,2,0
1331,48,35790.0,1,0,1,2,1,4575,54,0
2225,48,82582.0,0,0,0,1,0,4054,54,0
9381,47,66373.0,1,1,2,4,1,4414,57,0
6260,70,82384.0,0,0,0,2,0,4619,55,0
10383,59,70287.0,0,0,0,1,0,4485,30,0
7437,37,27938.0,1,0,1,2,1,4094,31,0
8557,43,51381.5,1,0,1,2,1,4409,57,0
8375,57,55954.0,0,1,1,3,1,4150,63,0
6853,43,75777.0,0,0,0,1,0,4392,12,0
3076,50,66653.0,1,1,2,4,1,4692,18,0
1012,73,61823.0,0,1,1,2,1,4528,26,0
6518,74,67680.0,0,1,1,2,1,4415,8,0
4137,77,70666.0,0,0,0,2,0,4237,29,0
8082,54,25721.0,1,0,1,3,1,4436,75,0
1386,58,32474.0,1,1,2,4,1,4081,0,0
9369,46,88194.0,0,1,1,2,1,4134,19,0
4477,67,69096.0,0,1,1,3,1,4307,4,0
1357,55,74854.0,1,2,3,5,1,4479,90,0
1402,71,66991.0,0,0,0,2,0,4688,1,0
10629,52,51381.5,1,0,1,3,1,4685,25,0
6312,66,65031.0,0,1,1,3,1,4501,29,0
8132,50,60631.0,1,1,2,4,1,4482,88,0
1050,73,28332.0,0,0,0,2,0,4092,58,0
5846,48,40246.0,1,0,1,2,1,4589,68,0
1859,53,75251.0,0,0,0,2,0,4703,34,0
7503,49,75825.0,0,0,0,1,0,4657,40,0
10401,49,26326.0,0,0,0,2,0,4330,12,1
1618,60,56046.0,0,0,0,2,0,4575,9,0
3332,40,29760.0,1,0,1,2,1,4701,87,0
2261,56,26304.0,1,0,1,3,1,4403,5,0
5346,52,23559.0,1,0,1,3,1,4393,87,0
4119,62,38620.0,0,0,0,2,0,4446,56,0
535,38,81361.0,0,0,0,1,0,4156,18,0
5268,65,29440.0,1,1,2,4,1,4354,95,0
273,55,36138.0,1,1,2,4,1,4380,48,0
4452,68,50388.0,0,1,1,2,1,4064,3,0
8504,52,79593.0,0,0,0,2,0,4080,70,0
771,58,54178.0,0,1,1,3,1,4191,79,0
8996,68,51381.5,2,1,3,5,1,4619,4,0
9235,68,51381.5,1,1,2,3,1,4065,45,0
5798,52,51381.5,0,0,0,2,0,4250,87,0
11178,53,42394.0,1,0,1,2,1,4130,69,0
2230,55,23626.0,1,0,1,3,1,4068,84,0
7516,42,30096.0,1,0,1,3,1,4070,30,0
7247,65,47916.0,0,1,1,2,1,4616,72,0
11100,53,51813.0,1,1,2,3,1,4476,37,0
4646,74,78497.0,0,0,0,2,0,4242,44,0
3037,42,50150.0,0,0,0,2,0,4406,32,0
1473,65,47823.0,0,1,1,2,1,4373,0,0
1016,66,34554.0,0,1,1,2,1,4123,43,0
4518,46,85693.0,0,1,1,3,1,4467,59,0
9370,80,65846.0,0,0,0,2,0,4440,68,0
8908,66,87195.0,0,0,0,2,0,4084,35,0
8373,46,24594.0,1,0,1,3,1,4233,94,0
7533,61,49096.0,1,1,2,4,1,4310,15,0
2683,56,52413.0,0,2,2,4,1,4544,56,0
3629,47,38557.0,1,0,1,2,1,4589,17,0
10991,65,89058.0,0,0,0,2,0,4601,18,0
5077,46,77298.0,0,1,1,3,1,4271,46,0
7431,34,68126.0,0,0,0,1,0,4628,40,0
3267,62,57288.0,0,1,1,3,1,4036,27,0
999,34,86037.0,0,0,0,1,0,4575,95,0
9215,45,43974.0,1,0,1,3,1,4596,19,0
2286,63,50785.0,1,1,2,3,1,4324,27,0
1592,55,90765.0,0,0,0,2,0,4188,25,0
367,47,36550.0,1,0,1,3,1,4527,74,0
5234,58,30753.0,1,1,2,4,1,4385,85,0
9862,56,21918.0,1,0,1,3,1,4259,37,0
9805,72,56129.0,0,1,1,3,1,4406,65,0
6205,58,32557.0,1,0,1,2,1,4157,13,0
8442,40,19510.0,2,0,2,4,1,4330,63,0
7386,49,30992.0,1,0,1,2,1,4465,83,0
7215,42,101970.0,0,0,0,1,0,4506,69,0
1491,60,71488.0,0,0,0,2,0,4528,87,0
11071,41,79607.0,0,0,0,1,0,4466,37,0
3381,72,54348.0,1,1,2,4,1,4053,51,0
8268,64,51381.5,0,1,1,3,1,4385,23,0
11051,69,77376.0,1,1,2,4,1,4082,72,0
8026,73,62998.0,0,1,1,3,1,4304,10,0
433,67,61331.0,1,1,2,3,1,4508,42,0
9597,56,73448.0,0,0,0,2,0,4171,10,0
1295,62,51381.5,0,1,1,3,1,4354,96,0
5290,61,41551.0,1,1,2,4,1,4351,51,0
1685,58,62981.0,0,0,0,2,0,4501,21,0
5342,49,9548.0,1,0,1,2,1,4722,31,0
9579,66,33762.0,2,1,3,5,1,4389,61,0
7660,52,35860.0,1,1,2,3,1,4073,37,0
1461,60,36921.0,1,1,2,3,1,4368,74,0
821,33,92859.0,0,0,0,1,0,4650,46,0
11084,49,65104.0,0,1,1,3,1,4259,4,0
8690,63,86111.0,0,0,0,2,0,4468,73,0
2937,51,68352.0,0,1,1,2,1,4337,47,0
9701,37,41883.0,1,0,1,3,1,4499,13,0
9949,49,59809.0,0,2,2,4,1,4651,36,0
10837,50,23957.0,1,0,1,3,1,4641,47,0
3120,44,38547.0,1,0,1,3,1,4337,49,1
5885,52,35688.0,2,1,3,5,1,4708,94,0
4050,59,49605.0,0,0,0,2,0,4040,65,0
3830,72,59354.0,0,2,2,4,1,4098,59,0
7987,56,65747.0,0,1,1,3,1,4146,96,0
7798,53,46344.0,0,1,1,3,1,4594,28,0
92,37,34176.0,1,0,1,2,1,4080,12,0
7055,73,61010.0,0,1,1,3,1,4660,57,0
10240,76,69372.0,0,0,0,2,0,4527,10,0
3025,67,49967.0,0,1,1,2,1,4388,4,0
9283,47,60199.0,1,2,3,4,1,4322,49,0
9970,48,55375.0,0,1,1,3,1,4287,3,0
2730,70,80317.0,0,0,0,1,0,4345,64,0
2795,67,30523.0,2,1,3,4,1,4395,0,0
9260,80,70356.0,0,0,0,2,0,4633,20,0
8182,41,23228.0,1,0,1,3,1,4207,91,0
10095,50,74165.0,0,0,0,1,0,4456,9,0
8475,52,157243.0,0,1,1,3,1,4152,98,0
4370,59,43482.0,2,1,3,5,1,4260,83,0
10573,72,62551.0,0,0,0,1,0,4255,27,0
3712,66,52332.0,0,0,0,1,0,4337,63,0
6637,37,66951.0,0,0,0,1,0,4271,46,0
3152,68,26091.0,1,1,2,4,1,4156,84,0
5610,60,33456.0,1,1,2,4,1,4101,58,0
6460,43,28718.0,1,0,1,3,1,4383,78,0
1349,55,50447.0,2,0,2,4,1,4101,4,0
1880,66,53537.0,1,1,2,4,1,4182,17,0
641,58,52074.0,0,1,1,2,1,4118,77,0
8717,50,80427.0,0,1,1,3,1,4687,56,0
10314,77,83837.0,0,0,0,2,0,4592,79,0
10854,55,38853.0,1,1,2,4,1,4069,90,0
10492,66,38285.0,2,1,3,5,1,4037,96,0
6935,74,78497.0,0,0,0,2,0,4242,44,0
7698,49,51650.0,0,1,1,3,1,4081,81,0
3559,37,16248.0,1,0,1,3,1,4082,77,0
10562,79,66835.0,0,0,0,2,0,4306,21,0
10796,41,30477.0,1,0,1,3,1,4190,16,0
2563,64,28249.0,0,0,0,2,0,4046,80,0
3518,42,25271.0,1,0,1,3,1,4603,45,0
5823,55,32303.0,0,1,1,2,1,4145,63,0
3934,59,61286.0,0,1,1,3,1,4363,34,0
6982,49,74068.0,0,0,0,2,0,4499,14,0
6431,61,45759.0,1,1,2,4,1,4523,13,0
9733,47,24882.0,1,0,1,3,1,4690,52,0
5602,36,66973.0,0,0,0,2,0,4440,98,0
1324,37,38872.0,1,0,1,3,1,4427,93,0
326,52,51148.0,1,1,2,4,1,4528,38,0
7224,48,31353.0,1,1,2,4,1,4214,24,0
6999,45,69661.0,0,0,0,2,0,4079,80,0
9938,71,80067.0,0,0,0,2,0,4315,82,0
6422,71,86718.0,0,0,0,2,0,4560,20,0
3182,52,46854.0,1,1,2,3,1,4122,81,0
7300,73,69142.0,0,1,1,2,1,4032,50,0
10424,57,75922.0,0,0,0,1,0,4234,60,0
8727,47,63693.0,0,1,1,2,1,4290,63,0
2798,48,102160.0,0,0,0,2,0,4636,54,0
1030,60,40637.0,1,1,2,3,1,4379,72,0
624,41,18890.0,0,0,0,1,0,4628,5,0
5176,37,29604.0,1,0,1,3,1,4235,88,0
5552,62,48721.0,1,1,2,3,1,4444,50,0
868,59,44794.0,0,1,1,3,1,4053,99,0
380,71,64497.0,0,1,1,2,1,4689,17,0
2677,69,46097.0,0,1,1,3,1,4487,11,0
6521,71,77972.0,0,0,0,2,0,4135,18,0
6927,57,44377.0,1,1,2,4,1,4664,70,0
2877,51,46014.0,1,1,2,4,1,4556,21,0
0,40,70951.0,0,0,0,2,0,4453,66,0
1584,48,41443.0,1,0,1,3,1,4121,79,0
7264,47,52195.0,2,1,3,4,1,4080,2,0
6274,77,83790.0,0,0,0,2,0,4258,81,0
1377,71,44551.0,0,1,1,2,1,4334,24,0
454,45,69508.0,1,0,1,3,1,4624,48,0
1755,37,45204.0,1,0,1,3,1,4111,93,0
2075,56,72460.0,0,0,0,2,0,4259,56,0
4785,55,77622.0,0,2,2,4,1,4108,3,0
9076,45,30732.0,1,0,1,3,1,4572,44,0
7079,63,63887.0,0,1,1,2,1,4691,38,0
4653,47,42011.0,1,0,1,3,1,4492,46,0
7375,49,51369.0,0,1,1,3,1,4644,84,0
709,73,51537.0,0,1,1,2,1,4599,27,0
460,53,79930.0,0,0,0,2,0,4722,72,0
3726,39,34320.0,1,0,1,3,1,4165,66,0
6798,59,37070.0,1,1,2,3,1,4498,30,0
5341,63,81975.0,0,1,1,2,1,4572,2,0
1606,54,38590.0,1,0,1,3,1,4442,65,0
9617,74,15033.0,0,0,0,1,0,4106,37,0
3233,60,62745.0,0,1,1,3,1,4495,89,0
89,50,22212.0,1,0,1,3,1,4234,49,0
2936,43,23661.0,1,0,1,3,1,4239,46,0
9449,67,79761.0,0,1,1,2,1,4300,32,0
7297,52,7500.0,1,0,1,2,1,4217,54,0
313,57,73455.0,0,0,0,1,0,4276,98,0
9940,67,64961.0,0,1,1,3,1,4585,97,0
10735,54,22804.0,1,0,1,2,1,4365,75,0
9529,35,73687.0,0,0,0,2,0,4245,8,0
6439,67,61074.0,0,1,1,3,1,4713,37,0
7411,61,31686.0,1,1,2,4,1,4056,31,0
2176,53,80134.0,1,0,1,3,1,4437,40,0
9265,72,75027.0,0,1,1,3,1,4568,74,0
8867,37,67546.0,0,0,0,2,0,4699,90,0
8932,56,65176.0,0,1,1,3,1,4640,57,0
10236,50,31160.0,1,0,1,2,1,4318,59,0
6340,40,29938.0,1,0,1,2,1,4277,52,0
10089,51,102692.0,0,0,0,1,0,4482,5,0
2227,67,26490.0,0,0,0,2,0,4677,92,0
10992,58,75702.0,1,1,2,4,1,4701,77,0
5304,51,30899.0,1,0,1,2,1,4656,35,0
309,64,63342.0,0,1,1,3,1,4653,48,0
3406,61,45989.0,0,1,1,2,1,4647,97,0
2661,61,18701.0,1,1,2,3,1,4422,95,0
3153,68,40737.0,2,1,3,4,1,4235,24,0
10264,46,15287.0,1,0,1,2,1,4659,60,0
1184,57,69674.0,0,2,2,3,1,4435,46,0
4200,55,44159.0,1,0,1,3,1,4044,85,0
9396,47,37717.0,1,0,1,3,1,4615,31,0
2387,73,43776.0,1,1,2,4,1,4543,9,0
6690,59,38179.0,1,1,2,4,1,4504,30,0
1225,62,80124.0,0,0,0,2,0,4035,47,0
9703,55,38097.0,1,1,2,4,1,4654,70,0
291,55,72940.0,0,0,0,2,0,4407,13,0
4557,55,22070.0,1,0,1,3,1,4300,11,0
2379,72,69267.0,0,0,0,1,0,4677,31,0
5726,42,31788.0,1,0,1,2,1,4133,15,1
3066,50,61905.0,0,1,1,3,1,4177,2,0
6336,65,29315.0,1,1,2,4,1,4116,55,0
10967,62,33378.0,1,1,2,3,1,4540,38,0
2304,62,66313.0,0,1,1,3,1,4318,86,0
3445,69,60714.0,0,0,0,1,0,4560,56,0
7828,44,77882.0,0,0,0,2,0,4092,29,0
3762,39,69867.0,0,0,0,1,0,4485,30,0
4391,57,63841.0,0,1,1,2,1,4466,64,0
4669,44,24480.0,1,0,1,3,1,4535,46,0
10144,49,51369.0,0,1,1,3,1,4644,84,0
8652,79,37760.0,0,0,0,2,0,4699,20,0
1672,51,65640.0,0,1,1,3,1,4152,74,0
8962,50,44319.0,1,1,2,4,1,4105,18,0
9974,51,30631.0,1,0,1,3,1,4384,75,0
10983,73,75278.0,0,0,0,2,0,4548,17,0
8148,69,50898.0,1,1,2,4,1,4569,88,0
10102,59,79946.0,0,0,0,1,0,4080,19,0
4697,76,35416.0,0,0,0,1,0,4413,62,0
9262,41,32414.0,0,0,0,2,0,4392,11,0
7254,56,38361.0,1,0,1,3,1,4216,74,0
4543,45,82497.0,0,0,0,2,0,4638,32,0
4927,54,16626.0,2,0,2,4,1,4197,76,0
10451,60,29672.0,1,1,2,4,1,4506,6,0
2926,73,55951.0,0,1,1,3,1,4707,62,0
2874,37,35388.0,1,0,1,2,1,4511,20,0
9738,39,42386.0,1,0,1,3,1,4564,43,0
7119,43,68627.0,0,0,0,1,0,4565,45,0
3924,60,57912.0,0,1,1,2,1,4136,34,0
5827,67,35246.0,1,1,2,3,1,4106,53,0
5596,69,58821.0,0,1,1,3,1,4292,44,0
10812,47,46377.0,1,0,1,3,1,4152,89,0
1717,37,39747.0,1,0,1,2,1,4109,43,0
9491,41,23976.0,1,0,1,3,1,4216,68,0
9274,64,80950.0,0,0,0,2,0,4490,44,0
6609,59,27038.0,0,0,0,1,0,4681,64,0
6963,78,77457.0,0,0,0,1,0,4148,85,0
4440,61,64100.0,0,1,1,3,1,4324,93,0
1379,33,42670.0,0,0,0,2,0,4460,12,0
10032,49,12571.0,1,0,1,2,1,4194,86,0
2826,58,22574.0,2,1,3,5,1,4276,28,0
2437,36,51381.5,0,0,0,2,0,4423,69,0
6320,49,70893.0,0,0,0,1,0,4540,42,0
3050,59,54198.0,1,1,2,4,1,4226,13,0
231,69,28839.0,1,1,2,4,1,4142,86,0
2392,53,40321.0,1,1,2,4,1,4367,59,0
9478,40,66503.0,1,0,1,2,1,4716,30,0
113,74,30833.0,1,1,2,4,1,4380,33,0
2863,55,51381.5,1,2,3,4,1,4342,67,0
1802,54,64795.0,0,1,1,3,1,4560,23,0
520,51,34421.0,1,0,1,3,1,4395,81,0
8275,60,47025.0,1,1,2,3,1,4172,6,0
9750,64,64325.0,0,1,1,2,1,4539,41,0
2607,72,40464.0,0,1,1,2,1,4566,78,0
7214,68,62187.0,0,0,0,2,0,4391,49,0
5835,49,14849.0,1,0,1,2,1,4394,39,0
3896,41,27255.0,1,0,1,3,1,4266,3,0
10350,75,54432.0,2,1,3,5,1,4448,37,0
7786,39,29999.0,1,0,1,2,1,4533,22,0
2861,42,24072.0,1,0,1,2,1,4471,79,0
663,36,33996.0,0,0,0,1,0,4323,46,0
10675,69,66334.0,0,1,1,3,1,4484,82,0
2521,54,35178.0,1,0,1,3,1,4567,10,0
9592,42,22010.0,1,0,1,3,1,4396,51,0
10151,65,62204.0,0,2,2,3,1,4687,38,0
7381,57,75693.0,0,0,0,1,0,4602,10,0
4099,53,30675.0,1,0,1,3,1,4626,14,0
9560,60,83003.0,0,0,0,2,0,4515,18,0
10172,37,68655.0,0,0,0,1,0,4720,95,0
11191,39,41411.0,0,0,0,1,0,4236,11,0
9707,56,55212.0,0,1,1,3,1,4615,65,0
6245,75,59292.0,0,1,1,3,1,4413,71,0
8234,52,27190.0,1,0,1,3,1,4350,13,0
1411,73,82623.0,0,0,0,1,0,4263,58,0
8553,60,44300.0,1,1,2,4,1,4403,65,0
1826,55,84835.0,0,0,0,1,0,4045,0,0
8842,54,30372.0,1,1,2,3,1,4583,33,0
11030,49,33181.0,1,0,1,3,1,4209,90,0
2579,68,71113.0,0,1,1,3,1,4226,95,0
175,39,71952.0,1,0,1,3,1,4567,93,0
9185,59,69759.0,0,0,0,1,0,4276,38,0
11056,51,72099.0,0,0,0,2,0,4642,18,0
9365,49,60000.0,0,1,1,2,1,4586,57,0
6201,47,38643.0,1,1,2,3,1,4244,45,1
2061,70,50737.0,0,1,1,3,1,4446,61,0
6184,56,68462.0,0,0,0,2,0,4596,6,0
6142,82,65073.0,0,0,0,2,0,4345,65,1
4107,77,46681.0,0,2,2,4,1,4296,52,0
7274,68,78618.0,0,0,0,2,0,4671,87,0
9336,56,62187.0,0,1,1,2,1,4131,38,0
2958,47,28442.0,2,0,2,4,1,4157,53,0
933,47,37717.0,1,0,1,3,1,4615,31,0
5837,58,51479.0,1,1,2,4,1,4580,67,0
10704,56,54803.0,0,1,1,2,1,4709,65,0
5125,65,79530.0,0,0,0,2,0,4440,64,0
4432,49,31615.0,1,0,1,2,1,4502,82,0
5955,63,72025.0,0,0,0,2,0,4621,27,0
2928,50,52614.0,0,1,1,2,1,4607,63,0
5680,41,35684.0,1,0,1,3,1,4100,66,0
10313,50,48178.0,1,1,2,4,1,4641,69,0
2557,55,29548.0,1,0,1,2,1,4336,52,0
1245,59,63810.0,0,1,1,2,1,4627,45,0
1519,53,38578.0,1,1,2,3,1,4404,2,0
10703,50,46098.0,1,1,2,3,1,4712,86,0
1726,55,22585.0,0,0,0,1,0,4500,23,0
4459,36,30279.0,1,0,1,2,1,4578,13,0
1729,64,66426.0,0,1,1,3,1,4302,14,0
1517,56,30822.0,1,0,1,2,1,4412,92,0
2098,56,33581.0,2,0,2,4,1,4569,38,0
9543,40,19986.0,1,0,1,3,1,4259,74,0
6878,71,27421.0,0,0,0,1,0,4596,14,0
3310,52,35688.0,2,1,3,5,1,4708,94,0
2724,44,36143.0,1,0,1,2,1,4123,33,0
948,54,10245.0,1,0,1,2,1,4442,32,0
6720,57,43795.0,0,1,1,3,1,4288,11,0
6202,65,63381.0,0,1,1,3,1,4664,78,0
2066,76,38823.0,0,1,1,3,1,4700,56,0
9799,57,83664.0,1,1,2,3,1,4449,57,0
8318,46,90300.0,0,0,0,2,0,4209,7,0
5642,46,62499.0,1,0,1,3,1,4234,0,0
2669,32,74293.0,0,0,0,1,0,4088,66,0
455,79,51012.0,0,0,0,2,0,4469,86,0
7683,57,70777.0,0,1,1,3,1,4156,80,0
3428,34,68682.0,0,0,0,2,0,4298,56,0
7414,54,43824.0,1,1,2,4,1,4684,18,0
6354,41,15345.0,1,0,1,3,1,4699,51,0
798,38,23442.0,1,0,1,2,1,4584,71,0
8213,45,14515.0,1,0,1,3,1,4629,71,0
2488,69,31395.0,1,1,2,3,1,4495,80,0
9999,60,75276.0,0,0,0,2,0,4672,2,0
7617,51,42373.0,1,1,2,3,1,4350,83,0
615,65,30507.0,0,0,0,2,0,4507,29,0
2552,70,55521.0,1,2,3,4,1,4282,11,0
194,60,48006.0,1,1,2,4,1,4052,55,0
3645,53,27213.0,1,0,1,2,1,4700,19,0
8890,54,65808.0,1,1,2,3,1,4062,1,0
5049,51,30351.0,1,0,1,3,1,4420,19,0
9973,62,50437.0,0,2,2,4,1,4652,28,0
7301,43,23616.0,1,0,1,2,1,4621,76,0
10882,49,53858.0,0,1,1,3,1,4629,50,0
7030,70,66465.0,0,1,1,3,1,4488,1,0
7422,38,46923.0,1,0,1,2,1,4708,90,0
3523,63,75072.0,0,1,1,3,1,4554,83,0
7106,82,75865.0,0,0,0,2,0,4122,73,0
6504,50,19789.0,1,0,1,3,1,4253,24,0
5067,31,80134.0,0,0,0,2,0,4167,11,0
4216,44,91065.0,0,0,0,1,0,4524,33,0
8581,54,49505.0,1,1,2,4,1,4513,4,0
5929,52,37401.0,1,0,1,3,1,4086,14,0
3129,42,30096.0,1,0,1,3,1,4070,30,0
6528,43,18492.0,1,0,1,3,1,4056,75,0
1361,51,82584.0,0,0,0,2,0,4422,26,0
6932,84,93027.0,0,0,0,2,0,4474,77,0
7284,72,48686.0,1,2,3,5,1,4239,8,0
1340,39,92910.0,0,0,0,2,0,4098,42,0
8746,36,75433.0,1,0,1,3,1,4117,28,0
5987,36,10404.0,1,0,1,3,1,4088,52,0
3767,57,61314.0,0,1,1,3,1,4462,1,0
3725,64,84865.0,0,0,0,1,0,4448,1,0
4324,36,42387.0,1,0,1,3,1,4640,42,0
238,58,67309.0,1,1,2,4,1,4554,76,0
6694,61,75236.0,0,1,1,3,1,4248,27,0
498,55,30015.0,1,0,1,2,1,4179,28,0
9347,69,50943.0,0,1,1,3,1,4405,49,0
9699,59,67272.0,0,1,1,2,1,4222,12,0
10664,76,51529.0,0,1,1,2,1,4327,14,0
5455,54,32011.0,1,0,1,3,1,4343,89,0
456,39,7500.0,1,0,1,3,1,4539,96,0
5012,36,28691.0,1,0,1,3,1,4392,56,0
7495,77,56223.0,0,1,1,3,1,4223,72,0
5029,79,18100.0,0,0,0,2,0,4359,14,0
10642,36,30279.0,1,0,1,2,1,4578,13,0
2106,51,20130.0,0,0,0,2,0,4136,99,0
10364,66,23295.0,0,0,0,1,0,4383,72,0
5954,53,42618.0,1,0,1,2,1,4295,92,0
1137,61,81246.0,0,0,0,1,0,4214,87,0
